,Name,Founded year,Total Funding Amount,Funding Rounds,Funding currency code,Total Employees,First Office,City,Location
41,Socialize,2008,1820000,3,"['USD', None]",10,"{'description': 'Headquarters', 'address1': '153 Townsend St', 'address2': 'Suite 9057', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 38.88521, 'longitude': -76.998641}",San Francisco,"{'type': 'Point', 'coordinates': [-76.998641, 38.88521]}"
42,Canvas,2008,9295000,6,['USD'],32,"{'description': 'Headquarters', 'address1': '1801 Reston Parkway - Suite 300', 'address2': '', 'zip_code': '20190', 'city': 'Reston', 'state_code': 'VA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Reston,"{'type': 'Point', 'coordinates': [None, None]}"
43,CrowdGather,2008,17953330,9,['USD'],9,"{'description': 'HQ', 'address1': '20300 Ventura Blvd. Suite 330', 'address2': '', 'zip_code': '91364', 'city': 'Woodland Hills', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.168955, 'longitude': -118.575293}",Woodland Hills,"{'type': 'Point', 'coordinates': [-118.575293, 34.168955]}"
44,Sprout,2008,8300000,2,['USD'],18,"{'description': 'Hawaii Office', 'address1': '2800 Woodlawn Drive, Suite 138', 'address2': '', 'zip_code': '96822', 'city': 'Honolulu', 'state_code': 'HI', 'country_code': 'USA', 'latitude': 21.30829, 'longitude': -157.8086025}",Honolulu,"{'type': 'Point', 'coordinates': [-157.8086025, 21.30829]}"
45,Gnip,2008,6640000,4,['USD'],34,"{'description': '', 'address1': '1050 Walnut', 'address2': 'Suite 115', 'zip_code': '80302', 'city': 'Boulder', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 40.019299, 'longitude': -105.274628}",Boulder,"{'type': 'Point', 'coordinates': [-105.274628, 40.019299]}"
46,InnerRewards,2008,1000000,1,['USD'],9,"{'description': 'West Coast', 'address1': '731 Market Street', 'address2': 'Floor 6', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.78691, 'longitude': -122.404403}",San Francisco,"{'type': 'Point', 'coordinates': [-122.404403, 37.78691]}"
47,Smule,2008,25500000,4,['USD'],55,"{'description': 'Smule HQ', 'address1': '139 Townsend Street', 'address2': 'Suite 200', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.779624, 'longitude': -122.391236}",San Francisco,"{'type': 'Point', 'coordinates': [-122.391236, 37.779624]}"
48,CloudMade,2008,12000000,3,['EUR'],45,"{'description': 'London Office', 'address1': 'Suite 1.06, Enterprise House', 'address2': '1/2 Hatfields', 'zip_code': 'SE1 9PG', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}",London,"{'type': 'Point', 'coordinates': [None, None]}"
49,InnerRewards,2008,1000000,1,['USD'],9,"{'description': 'West Coast', 'address1': '731 Market Street', 'address2': 'Floor 6', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.78691, 'longitude': -122.404403}",San Francisco,"{'type': 'Point', 'coordinates': [-122.404403, 37.78691]}"
50,DataMarket,2008,1200000,1,['USD'],15,"{'description': 'Development', 'address1': 'Klapparstigur 16', 'address2': '', 'zip_code': 'IS101', 'city': 'Reykjavik', 'state_code': None, 'country_code': 'ISL', 'latitude': None, 'longitude': None}",Reykjavik,"{'type': 'Point', 'coordinates': [None, None]}"
51,FeedHenry,2010,9000000,1,['USD'],30,"{'description': 'R&D Offices', 'address1': 'ArcLabs Research & Innovation Building', 'address2': 'WIT West Campus, Carriganore', 'zip_code': 'Waterford', 'city': 'Waterford', 'state_code': None, 'country_code': 'IRL', 'latitude': None, 'longitude': None}",Waterford,"{'type': 'Point', 'coordinates': [None, None]}"
52,CubeTree,2008,11500000,3,['USD'],12,"{'description': '', 'address1': '401 Warren Street', 'address2': 'Suite 301', 'zip_code': '94063', 'city': 'Redwood City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.487259, 'longitude': -122.232217}",Redwood City,"{'type': 'Point', 'coordinates': [-122.232217, 37.487259]}"
53,JAZD Markets,2008,8000000,1,['USD'],20,"{'description': 'Corporate Headquarters', 'address1': '3 Dundee Park, Suite 102', 'address2': '', 'zip_code': '01810', 'city': 'Andover', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.6555302, 'longitude': -71.1455618}",Andover,"{'type': 'Point', 'coordinates': [-71.1455618, 42.6555302]}"
54,Mendeley,2008,2125000,2,['USD'],27,"{'description': '', 'address1': '144a Clerkenwell Road', 'address2': '', 'zip_code': 'EC1R 5DF', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5224267, 'longitude': -0.1046546}",London,"{'type': 'Point', 'coordinates': [-0.1046546, 51.5224267]}"
55,Occipital,2008,8015000,3,['USD'],9,"{'description': 'Boulder Office', 'address1': '', 'address2': '', 'zip_code': '80302', 'city': 'Boulder', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 40.018145, 'longitude': -105.278109}",Boulder,"{'type': 'Point', 'coordinates': [-105.278109, 40.018145]}"
56,Kashless,2008,9000000,2,['USD'],8,"{'description': 'World Headquarters', 'address1': '106 West Roy St.', 'address2': '', 'zip_code': '98119', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.6257402, 'longitude': -122.3581623}",Seattle,"{'type': 'Point', 'coordinates': [-122.3581623, 47.6257402]}"
57,AlphaClone,2008,1400000,3,['USD'],2,"{'description': '', 'address1': 'One Market Plaza', 'address2': 'Steuart Tower, Suite 1208', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.79023, 'longitude': -122.403073}",San Francisco,"{'type': 'Point', 'coordinates': [-122.403073, 37.79023]}"
58,Ranker,2008,5100000,4,['USD'],12,"{'description': 'HQ', 'address1': '6420 Wilshire Blvd.', 'address2': 'Suite 880', 'zip_code': '90048', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.1012181, 'longitude': -118.325739}",Los Angeles,"{'type': 'Point', 'coordinates': [-118.325739, 34.1012181]}"
59,Klout,2008,40000000,5,['USD'],79,"{'description': '', 'address1': '77 Stillman St.', 'address2': '', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.0497638, 'longitude': -118.2474287}",San Francisco,"{'type': 'Point', 'coordinates': [-118.2474287, 34.0497638]}"
60,Inadco,2008,17000000,3,['USD'],30,"{'description': '', 'address1': '445 Sherman Avenue', 'address2': '', 'zip_code': '94306', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 41.889832, 'longitude': -87.626718}",Palo Alto,"{'type': 'Point', 'coordinates': [-87.626718, 41.889832]}"
61,Foodista,2008,1300000,2,['USD'],3,"{'description': '', 'address1': '24 Roy Street,', 'address2': 'Suite 210', 'zip_code': '98109', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.6254784, 'longitude': -122.3564234}",Seattle,"{'type': 'Point', 'coordinates': [-122.3564234, 47.6254784]}"
62,Zorap,2008,2251000,2,['USD'],2,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}",San Francisco,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
63,LockerDome,2008,8093000,4,['USD'],27,"{'description': 'HQ', 'address1': '1221 Washington Ave', 'address2': '', 'zip_code': '63103', 'city': 'St. Louis', 'state_code': 'MO', 'country_code': 'USA', 'latitude': 38.6501668, 'longitude': -90.2598684}",St. Louis,"{'type': 'Point', 'coordinates': [-90.2598684, 38.6501668]}"
64,Hara,2008,45000000,3,['USD'],60,"{'description': 'Headquarters', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.48413, 'longitude': -122.169472}",San Mateo,"{'type': 'Point', 'coordinates': [-122.169472, 37.48413]}"
65,EdeniQ,2008,83670000,4,['USD'],100,"{'description': 'Corporate Headquarters', 'address1': '2505 N. Shirk', 'address2': '', 'zip_code': '93291', 'city': 'Visalia', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 36.35198, 'longitude': -119.368461}",Visalia,"{'type': 'Point', 'coordinates': [-119.368461, 36.35198]}"
66,Occipital,2008,8015000,3,['USD'],9,"{'description': 'Boulder Office', 'address1': '', 'address2': '', 'zip_code': '80302', 'city': 'Boulder', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 40.018145, 'longitude': -105.278109}",Boulder,"{'type': 'Point', 'coordinates': [-105.278109, 40.018145]}"
67,Helpful Technologies,2008,18661010,5,['USD'],17,"{'description': 'Software Group', 'address1': '', 'address2': '', 'zip_code': '33309', 'city': 'Ft. Lauderdale', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 26.2032036, 'longitude': -80.1510951}",Ft. Lauderdale,"{'type': 'Point', 'coordinates': [-80.1510951, 26.2032036]}"
68,Culture Jam,2008,1700000,2,['USD'],15,"{'description': '', 'address1': '2434 Lincoln Blvd', 'address2': 'Floor 2', 'zip_code': '90291', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.0137151, 'longitude': -118.4660597}",Los Angeles,"{'type': 'Point', 'coordinates': [-118.4660597, 34.0137151]}"
69,Fanminder,2008,1000000,1,['USD'],11,"{'description': 'Headquarters', 'address1': '625 Second Street', 'address2': 'Suite 280', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.3792486, 'longitude': -122.1151274}",San Francisco,"{'type': 'Point', 'coordinates': [-122.1151274, 37.3792486]}"
70,Cliqset,2008,2000000,2,['USD'],5,"{'description': 'Cliqset HQ', 'address1': '1450 Flagler Avenue', 'address2': '#3', 'zip_code': '32207', 'city': 'Jacksonville', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 30.310978, 'longitude': -81.657707}",Jacksonville,"{'type': 'Point', 'coordinates': [-81.657707, 30.310978]}"
71,borro,2008,36000000,3,"['GBP', 'USD']",55,"{'description': 'Headquarters', 'address1': '53-64 Chancery House', 'address2': 'Chancery Lane', 'zip_code': 'WC2A 1QU', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}",London,"{'type': 'Point', 'coordinates': [None, None]}"
72,Talari Networks,2009,45100000,6,['USD'],60,"{'description': 'Headquarters', 'address1': '550 S. Winchester Blvd.', 'address2': 'Suite 500', 'zip_code': '95128', 'city': 'San Jose', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.317735, 'longitude': -121.949417}",San Jose,"{'type': 'Point', 'coordinates': [-121.949417, 37.317735]}"
73,MyEdu,2009,18700000,3,['USD'],20,"{'description': 'Corporate Office', 'address1': '1301 S. MoPac Expy', 'address2': 'Ste. 250', 'zip_code': '78746', 'city': 'Austin', 'state_code': 'TX', 'country_code': 'USA', 'latitude': 30.288159, 'longitude': -97.750154}",Austin,"{'type': 'Point', 'coordinates': [-97.750154, 30.288159]}"
74,New Relic,2008,174500000,6,['USD'],63,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.269175, 'longitude': -119.306607}",San Francisco,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}"
75,UsingMiles,2010,3265000,4,['USD'],15,"{'description': 'Headquarters', 'address1': '1514 Blake St', 'address2': '', 'zip_code': '80202', 'city': 'Denver', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 39.749671, 'longitude': -104.9998449}",Denver,"{'type': 'Point', 'coordinates': [-104.9998449, 39.749671]}"
76,PaperG,2008,2700000,1,['USD'],50,"{'description': 'Headquarters', 'address1': '530 Bush Street', 'address2': '9th Floor', 'zip_code': '94108', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7905948, 'longitude': -122.406111}",San Francisco,"{'type': 'Point', 'coordinates': [-122.406111, 37.7905948]}"
77,TheWrap,2008,3500000,3,['USD'],5,"{'description': 'Headquarters', 'address1': '1229a Montana Avenue', 'address2': '', 'zip_code': '90403', 'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Santa Monica,"{'type': 'Point', 'coordinates': [None, None]}"
78,Tapulous,2008,2800000,4,['USD'],15,"{'description': '', 'address1': '240 Hamilton Ave', 'address2': '', 'zip_code': '94301', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.444332, 'longitude': -122.161018}",Palo Alto,"{'type': 'Point', 'coordinates': [-122.161018, 37.444332]}"
79,Sharethrough,2008,11000000,4,"[None, 'USD']",80,"{'description': '', 'address1': '394 Pacific Ave.', 'address2': 'Fl. 5', 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7976785, 'longitude': -122.4018163}",San Francisco,"{'type': 'Point', 'coordinates': [-122.4018163, 37.7976785]}"
80,CircleUp,2011,9000000,2,['USD'],11,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
81,Skydeck,2012,4000000,2,['USD'],9,"{'description': '', 'address1': '330 Waverley St.', 'address2': 'Suite 3', 'zip_code': '94301', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.5645375, 'longitude': -122.3254705}",Palo Alto,"{'type': 'Point', 'coordinates': [-122.3254705, 37.5645375]}"
82,CardStar,2008,2030882,3,['USD'],10,"{'description': 'Main Office', 'address1': '110 Chauncy St #1', 'address2': '', 'zip_code': '02111-1720', 'city': 'Boston', 'state_code': 'MA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Boston,"{'type': 'Point', 'coordinates': [None, None]}"
83,Viralheat,2009,4325000,2,['USD'],21,"{'description': '', 'address1': '1510 Fashion Island Blvd. Ste. 260', 'address2': '', 'zip_code': '94404', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Mateo,"{'type': 'Point', 'coordinates': [None, None]}"
84,Vaultive,2009,11000000,2,['USD'],25,"{'description': 'HQ', 'address1': '100 Broadway, 14th Floor', 'address2': '', 'zip_code': '10005', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.707954, 'longitude': -74.011114}",New York,"{'type': 'Point', 'coordinates': [-74.011114, 40.707954]}"
85,Silver Tail Systems,2008,22100000,3,"['USD', None]",90,"{'description': 'Headquarters', 'address1': '1010 El Camino Real #300', 'address2': '', 'zip_code': '94025', 'city': 'Menlo Park', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.4280877, 'longitude': -122.143368}",Menlo Park,"{'type': 'Point', 'coordinates': [-122.143368, 37.4280877]}"
86,fotopedia,2008,12662722,5,['USD'],17,"{'description': 'Paris', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.856667, 'longitude': 2.350987}",Paris,"{'type': 'Point', 'coordinates': [2.350987, 48.856667]}"
87,Testplant,2008,2564000,2,['USD'],50,"{'description': 'TestPlant', 'address1': '6 Snow Hill', 'address2': '', 'zip_code': 'EC1A 2AY', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.517356, 'longitude': -0.1037742}",London,"{'type': 'Point', 'coordinates': [-0.1037742, 51.517356]}"
88,Allvoices,2008,3040000,2,['EUR'],10,"{'description': 'Main Office', 'address1': '351 California St.', 'address2': 'Ste. 1210', 'zip_code': '94104', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.791068, 'longitude': -122.401942}",San Francisco,"{'type': 'Point', 'coordinates': [-122.401942, 37.791068]}"
89,DealBase Corporation,2008,1000000,1,['USD'],3,"{'description': 'DB HQ', 'address1': '1112 Ocean Drive', 'address2': '', 'zip_code': '90266', 'city': 'Manhattan Beach', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.5758867, 'longitude': -122.3277578}",Manhattan Beach,"{'type': 'Point', 'coordinates': [-122.3277578, 37.5758867]}"
90,TweetPhoto,2009,2600000,1,['USD'],4,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Diego', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Diego,"{'type': 'Point', 'coordinates': [None, None]}"
91,Koofers,2008,7000000,4,"[None, 'USD']",9,"{'description': 'Koofers', 'address1': '', 'address2': '', 'zip_code': '24060', 'city': 'Blacksburg', 'state_code': 'VA', 'country_code': 'USA', 'latitude': 37.2322135, 'longitude': -80.4164606}",Blacksburg,"{'type': 'Point', 'coordinates': [-80.4164606, 37.2322135]}"
92,Inuvo,2009,4200000,1,['USD'],50,"{'description': 'Clearwater, FL', 'address1': '15500 Lightwave Dr.', 'address2': 'Suite 300', 'zip_code': '33760', 'city': 'Clearwater', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 27.913011, 'longitude': -82.702449}",Clearwater,"{'type': 'Point', 'coordinates': [-82.702449, 27.913011]}"
93,StudyBlue,2009,18453939,5,['USD'],18,"{'description': '', 'address1': '612 W. Main St.', 'address2': 'Ste 201', 'zip_code': '53703', 'city': 'Madison', 'state_code': 'WI', 'country_code': 'USA', 'latitude': 43.068006, 'longitude': -89.39256}",Madison,"{'type': 'Point', 'coordinates': [-89.39256, 43.068006]}"
94,Yipit,2010,7550000,3,['USD'],23,"{'description': 'HQ', 'address1': '3 W 18th', 'address2': '2nd Floor', 'zip_code': '10011', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.744618, 'longitude': -73.987764}",New York,"{'type': 'Point', 'coordinates': [-73.987764, 40.744618]}"
95,Koofers,2008,7000000,4,"[None, 'USD']",9,"{'description': 'Koofers', 'address1': '', 'address2': '', 'zip_code': '24060', 'city': 'Blacksburg', 'state_code': 'VA', 'country_code': 'USA', 'latitude': 37.2322135, 'longitude': -80.4164606}",Blacksburg,"{'type': 'Point', 'coordinates': [-80.4164606, 37.2322135]}"
96,L4 Mobile,2008,4800000,1,['USD'],25,"{'description': 'L4 Mobile', 'address1': '1818 Westlake Ave. N,', 'address2': 'Suite #424', 'zip_code': '98109', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.676762, 'longitude': -122.2049192}",Seattle,"{'type': 'Point', 'coordinates': [-122.2049192, 47.676762]}"
97,AppZero,2009,15100000,4,['USD'],50,"{'description': 'HQ', 'address1': '300 Brickston Sq.', 'address2': 'Suite 201', 'zip_code': '01810', 'city': 'Andover', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.6751888, 'longitude': -71.1469003}",Andover,"{'type': 'Point', 'coordinates': [-71.1469003, 42.6751888]}"
98,Viridity Software,2008,15000000,2,['USD'],22,"{'description': 'Corporate Headquarters', 'address1': '5 Burlington Woods Suite 205', 'address2': '', 'zip_code': '01803', 'city': 'Burlington', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.4871509, 'longitude': -71.1986329}",Burlington,"{'type': 'Point', 'coordinates': [-71.1986329, 42.4871509]}"
99,Factery,2009,1200000,1,['USD'],2,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '94025', 'city': 'Menlo Park', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.4484914, 'longitude': -122.1802812}",Menlo Park,"{'type': 'Point', 'coordinates': [-122.1802812, 37.4484914]}"
100,Meez,2009,10200000,3,['USD'],21,"{'description': '', 'address1': '620 Folsom St, Suite 350', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.785271, 'longitude': -122.397582}",San Francisco,"{'type': 'Point', 'coordinates': [-122.397582, 37.785271]}"
101,Gengo,2008,18800000,5,['USD'],38,"{'description': 'Tokyo', 'address1': '3-27-11, Yushin bldg 8F, Shibuya,', 'address2': 'Shibuya-ku', 'zip_code': '151-0051', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}",Tokyo,"{'type': 'Point', 'coordinates': [None, None]}"
102,Glympse,2008,7500000,2,['USD'],20,"{'description': '', 'address1': '1124 Harrison St', 'address2': '', 'zip_code': '98109-5329', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.6220245, 'longitude': -122.3350847}",Seattle,"{'type': 'Point', 'coordinates': [-122.3350847, 47.6220245]}"
103,Wealthfront,2008,30500000,3,['USD'],20,"{'description': '', 'address1': '203 Forest Ave', 'address2': '', 'zip_code': '94301', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.4459832, 'longitude': -122.1490582}",Palo Alto,"{'type': 'Point', 'coordinates': [-122.1490582, 37.4459832]}"
